marca;modelo;precio;url_detalle
Apple;iPhone 16e;$14,999.00 $ 12,799.00 o en hasta 13 pagos de $984.54 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16e-blanco-128gb/71001913
Apple;iPhone 16 Pro Max 256GB;$ 28,499.00 o en hasta 13 pagos de $2,192.23 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-pro-max-natural-256gb/71000500
Apple;iPhone 16 Pro Max 512GB;$33,499.00 $ 28,499.00 o en hasta 13 pagos de $2,192.23 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-pro-max-natural-512gb/71000504
Apple;iPhone 16 Pro Max 1TB;$38,499.00 $ 33,499.00 o en hasta 13 pagos de $2,576.85 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-pro-max-desierto-1tb/71000507
Apple;iPhone 16 Plus 128GB;$ 19,999.00 o en hasta 13 pagos de $1,538.38 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-plus-verde-azulado-128gb/71000468
Apple;iPhone 16 Plus 256GB;$ 22,499.00 o en hasta 13 pagos de $1,730.69 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-plus-verde-azulado-256gb/71000473
Apple;iPhone 16 Plus 512GB;$ 27,499.00 o en hasta 13 pagos de $2,115.31 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-plus-blanco-512gb/71000480
Apple;iPhone 16 128GB;$ 17,499.00 o en hasta 13 pagos de $1,346.08 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-verde-azulado-128gb/71000453
Apple;iPhone 16 256GB;$ 19,999.00 o en hasta 13 pagos de $1,538.38 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-verde-azulado-256gb/71000458
Apple;iPhone 16 512GB;$ 24,999.00 o en hasta 13 pagos de $1,923.00 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-verde-azulado-512gb/71000463
Apple;iPhone 16 Pro 128GB;$ 23,499.00 o en hasta 13 pagos de $1,807.62 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-pro-desierto-128gb/71000483
Apple;iPhone 16 Pro 256GB;$ 25,999.00 o en hasta 13 pagos de $1,999.92 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-pro-blanco-256gb/71000489
Apple;iPhone 16 Pro 512GB;$30,999.00 $ 25,999.00 o en hasta 13 pagos de $1,999.92 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-pro-natural-512gb/71000492
Apple;iPhone 16 Pro 1TB;$35,999.00 $ 30,999.00 o en hasta 13 pagos de $2,384.54 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-16-pro-natural-1tb/71000496
Apple;iPhone 15 Plus 256GB;$ 19,999.00 o en hasta 13 pagos de $1,538.38 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-plus-yellow-256gb/70022717
Apple;iPhone 15 Plus 512GB;$27,499.00 $ 19,999.00 o en hasta 13 pagos de $1,538.38 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-plus-blue-512gb/70022723
Apple;iPhone 15 Plus 128GB;$ 17,499.00 o en hasta 13 pagos de $1,346.08 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-plus-black-128gb/70022710
Apple;iPhone 15 Plus 256GB;$ 19,999.00 o en hasta 13 pagos de $1,538.38 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-plus-yellow-256gb/70022717
Apple;iPhone 15 256GB;$ 17,499.00 o en hasta 13 pagos de $1,346.08 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-black-256gb/70022700
Apple;iPhone 15 512GB;$ 22,499.00 o en hasta 13 pagos de $1,730.69 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-black-512gb/70022705
Apple;iPhone 15 128GB;$ 14,999.00 o en hasta 13 pagos de $1,153.77 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-black-128gb/70022695
Apple;iPhone 13 128GB;$12,999.00 $ 9,999.00 o en hasta 13 pagos de $769.15 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-13-midnight-128gb/70018364
Apple;iPhone 13 512GB;$20,499.00 $ 14,399.00 o en hasta 13 pagos de $1,107.62 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-13-red-512gb/70018378
Apple;Teléfonos y Smartphones;;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-pro-max-black-256gb/70022741
Apple;iPhone 15 PRO MAX 1TB;$37,999.00 $ 30,399.00 o en hasta 13 pagos de $2,338.38 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-pro-max-black-1tb/70022749
Apple;iPhone 15 Pro Max 512GB;$33,499.00 $ 26,999.00 o en hasta 13 pagos de $2,076.85 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-pro-max-black-512gb/70022745
Apple;iPhone 13 Pro 512GB;$34,949.00 $ 24,299.00 o en hasta 13 pagos de $1,869.15 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-13-pro-silver-512gb/70018402
Apple;iPhone 13 Pro 128GB;$27,679.00 $ 21,599.00 o en hasta 13 pagos de $1,661.46 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-13-pro-alpine-green-128gb/70019517
Apple;iPhone 13 Pro 1TB;$39,489.00 $ 16,999.00 o en hasta 13 pagos de $1,307.62 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-13-pro-sierra-blue-1tb/70018409
Apple;iPhone 13 Pro 256GB;$30,399.00 $ 24,299.00 o en hasta 13 pagos de $1,869.15 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-13-pro-alpine-green-256gb/70019518
Apple;Teléfonos y Smartphones;;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-14-pro-deep-purple-512gb/70020465
Apple;iPhone 12 64GB;$12,499.00 $ 4,499.00 o en hasta 13 pagos de $346.08 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-12-white-64gb/70016960
Apple;iPhone 12 128GB;$13,499.00 $ 5,499.00 o en hasta 13 pagos de $423.00 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-12-black-128gb/70016964
Apple;iPhone 12 256GB;$ 15,499.00 o en hasta 13 pagos de $1,192.23 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-12-white-256gb/70016969
