marca;modelo
Apple;iPhone 12 Pro Max 256GB
Apple;iPhone 14 Plus 256GB
Apple;iPhone 14 Plus 128 GB
Apple;iPhone 14 Plus 512 GB
Apple;iPhone 14 Plus 256 GB
Apple;iPhone 14 Plus 512GB
Apple;iPhone 14 Plus 128GB
Apple;iPhone 15 Pro Max 256GB
Apple;iPhone SE 2ND 64GB
Apple;iPhone SE 2ND 128GB
Apple;iPhone 14 Pro Max 128GB
Apple;iPhone 14 Pro Max 512GB
Apple;iPhone 12 Pro 512GB
Apple;iPhone 12 Pro 512gb
Apple;iPhone 14 Pro 512GB
Apple;iPhone SE 22 64GB
Apple;iPhone 12
Apple;iPhone 13 Pro Max 128GB
Apple;iPhone 13 Pro Max 256GB
Apple;iPhone 13 Pro Max 1TB
Apple;iPhone 14 512GB
Apple;iPhone 12 mini 64GB
Apple;iPhone 13 mini 256GB
Apple;iPhone 13 mini 128GB
